"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000050366",2.81893349801088,4.59485825691758,130.236722742422,3.63710110982378e-30,4.00808542302581e-27,159,194,334,1233,1350,2265,"Olfr524","olfactory receptor 524"
"2","ENSMUSG00000044985",2.28762094415393,5.0308937839858,118.845713169014,1.13200715958005e-27,6.23735944928608e-25,390,460,388,1989,1920,2188,"Olfr124","olfactory receptor 124"
"3","ENSMUSG00000036647",2.23243935355923,4.11249202854852,86.8414377938325,1.17579967937738e-20,4.31910415557958e-18,191,241,247,1018,923,1298,"Olfr6","olfactory receptor 6"
"4","ENSMUSG00000108674",2.72328380141472,2.82533658732645,74.5798224381818,5.82353771639424e-18,1.60438464086661e-15,45,60,109,414,312,698,"Olfr1359","olfactory receptor 1359"
"5","ENSMUSG00000048933",2.69451278123573,2.30735399969189,66.9899981061245,2.72888128064273e-16,6.01445434253658e-14,45,54,46,301,331,314,"Olfr722","olfactory receptor 722"
"6","ENSMUSG00000108534",2.94386181899542,1.99400737799698,65.7805440547602,5.04033506544333e-16,9.25741540353091e-14,11,60,41,157,269,355,"Olfr1360","olfactory receptor 1360"
"7","ENSMUSG00000046016",2.16465210731195,3.66389087782413,55.0735915921001,1.16100386589037e-13,1.8277518003017e-11,134,136,264,749,644,940,"Olfr1364","olfactory receptor 1364"
"9","ENSMUSG00000070417",3.01520041505714,0.723468150005033,44.5445299014249,2.48637213306065e-11,3.42497761329105e-09,10,33,4,121,105,84,"Olfr2","olfactory receptor 2"
"11","ENSMUSG00000108167",1.61332830970478,4.38021740282678,31.9524315637761,1.57994478663529e-08,1.93455461652454e-06,440,268,442,1221,1086,1181,"Olfr1386","olfactory receptor 1386"
"12","ENSMUSG00000094819",1.68794019667659,1.74533797208388,27.4587835580997,1.60478356156021e-07,1.76847148483935e-05,39,89,49,125,229,204,"Olfr53","olfactory receptor 53"
"16","ENSMUSG00000061616",1.39510543081212,3.39262315088207,24.7269182332351,6.60551353666633e-07,6.61752356127845e-05,171,224,237,385,601,734,"Olfr12","olfactory receptor 12"
"22","ENSMUSG00000066273",1.40064053381449,2.38725098940304,20.3839101450854,6.33602853866417e-06,0.00058185862080066,62,108,153,179,264,415,"Olfr33","olfactory receptor 33"
"23","ENSMUSG00000090874",1.5838161250852,2.22958300492864,19.1489266254698,1.20905475138635e-05,0.00102490641232904,39,114,117,193,320,241,"Olfr733","olfactory receptor 733"
"37","ENSMUSG00000057447",1.66472601195581,0.130335460464185,14.3899967280195,0.000148589560348115,0.0116961211074016,14,19,23,65,46,70,"Olfr1205","olfactory receptor 1205"
"39","ENSMUSG00000062199",5.6960888536292,-2.83074501083601,13.386384420984,0.000253457500407343,0.0186206776965928,0,0,0,7,4,9,"Olfr1465","olfactory receptor 1465"
"101","ENSMUSG00000036658",1.08210902742034,0.931037466230632,9.69039683721022,0.00185233530999904,0.127579594476184,18,67,53,50,85,154,"Olfr11","olfactory receptor 11"
"111","ENSMUSG00000049280",0.89762496036783,2.66481945939706,9.35307993953158,0.00222611057150771,0.139920726247903,81,213,211,192,260,492,"Olfr509","olfactory receptor 509"
"114","ENSMUSG00000063230",0.955405386145994,1.35910708595761,9.30486897604474,0.00228545650858643,0.139920726247903,73,64,54,141,94,144,"Olfr535","olfactory receptor 535"
"118","ENSMUSG00000044061",1.87738746763954,-0.922490901305003,9.09051916649581,0.00256937925888133,0.149023997015117,7,6,9,18,31,36,"Olfr225","olfactory receptor 225"
"123","ENSMUSG00000058802",1.35243374314424,0.234806656952937,8.97642216980225,0.0027348563286885,0.150690583710736,12,21,42,47,57,75,"Olfr97","olfactory receptor 97"
"143","ENSMUSG00000050865",0.960226864357466,1.03176196661018,8.22577864071238,0.00412994819504951,0.214643567746219,37,45,68,66,83,157,"Olfr1494","olfactory receptor 1494"
"147","ENSMUSG00000057564",1.00356689773385,1.15442971423789,8.12791886476551,0.00435887519494955,0.214643567746219,54,46,60,96,114,115,"Olfr1508","olfactory receptor 1508"
"153","ENSMUSG00000056959",0.974853576222277,1.93495661391062,8.0092958053473,0.00465378311963276,0.214643567746219,67,106,103,167,98,345,"Olfr315","olfactory receptor 315"
"155","ENSMUSG00000091873",2.03174617114373,-1.57067992562357,8.00120113296867,0.00467463305436412,0.214643567746219,4,5,3,26,13,13,"Olfr732","olfactory receptor 732"
"176","ENSMUSG00000064044",1.05251221406842,0.58169437281859,7.54503757473007,0.00601755673446662,0.260002004996673,25,30,51,84,47,93,"Olfr319","olfactory receptor 319"
"179","ENSMUSG00000062314",1.1080542048713,0.605868456555211,7.51040767085185,0.00613434857523911,0.260002004996673,9,78,33,45,91,74,"Olfr1505","olfactory receptor 1505"
"191","ENSMUSG00000055838",0.916475823158547,1.17252080222652,7.42208124524604,0.00644282493039704,0.262962706418427,57,62,50,81,105,143,"Olfr357","olfactory receptor 357"
"208","ENSMUSG00000049015",1.67118261473432,-0.423392753352213,7.20210273678452,0.00728182102603372,0.286591670381756,3,25,14,39,25,54,"Olfr1467","olfactory receptor 1467"
"289","ENSMUSG00000059867",1.97360500161674,-1.5955935725128,6.4755376458967,0.0109369224318422,0.415603052410004,0,6,8,7,13,30,"Olfr960","olfactory receptor 960"
"314","ENSMUSG00000051414",-2.13775464899208,-1.62407581738297,6.24705064159258,0.0124400272451457,0.448477371084424,12,20,16,4,0,10,"Olfr829","olfactory receptor 829"
"321","ENSMUSG00000043855",0.859593494467299,1.04434922787939,6.22217978451026,0.0126159696040083,0.448477371084424,45,62,51,108,57,141,"Olfr479","olfactory receptor 479"
"345","ENSMUSG00000070374",0.787555245531027,1.92493214932952,6.05920519321874,0.0138339932080551,0.476408141102397,73,100,136,133,169,236,"Olfr59","olfactory receptor 59"
"369","ENSMUSG00000067525",0.636834901151939,3.76776025877421,5.94584992951683,0.0147519763657594,0.492626604698996,439,475,260,557,755,499,"Olfr1427","olfactory receptor 1427"
"416","ENSMUSG00000075383",1.40466005446056,-0.524709122777164,5.74522927334323,0.0165334974155712,0.535879827998808,5,35,8,27,34,37,"Olfr351","olfactory receptor 351"
"493","ENSMUSG00000075086",0.949143430952697,0.81754730640073,5.4474202418256,0.0195972448183325,0.617033251137212,17,43,83,67,71,107,"Olfr1241","olfactory receptor 1241"
"532","ENSMUSG00000045812",1.09006113410417,0.0469252984862045,5.27168275095852,0.0216750502435772,0.663497371345058,10,33,29,40,30,86,"Olfr984","olfactory receptor 984"
"551","ENSMUSG00000047544",1.27118303718906,-0.490679451027001,5.17486442046356,0.022915959791076,0.682523991615291,20,14,9,29,25,54,"Olfr616","olfactory receptor 616"
"576","ENSMUSG00000063660",3.24622882395324,-3.01988445346812,5.06433948779539,0.0244230108382957,0.700413399109359,0,0,1,10,1,4,"Olfr98","olfactory receptor 98"
"580","ENSMUSG00000071000",1.05689564365152,-0.12369795465003,5.03865209515463,0.0247877700229265,0.700413399109359,9,20,33,17,39,81,"Olfr155","olfactory receptor 155"
"643","ENSMUSG00000109212",0.971125053689538,0.0456491294050999,4.82193348503495,0.0280998079991205,0.77414971037577,18,30,26,50,32,69,"Olfr126","olfactory receptor 126"
"720","ENSMUSG00000050343",-1.47436861026601,-1.57565620987729,4.56901110157665,0.0325553530292118,0.869968102742599,12,26,10,4,6,6,"Olfr1378","olfactory receptor 1378"
"756","ENSMUSG00000066747",-0.785776752001481,0.787199341582558,4.47819206689424,0.034330018302497,0.869968102742599,30,94,116,27,27,92,"Olfr878","olfactory receptor 878"
"757","ENSMUSG00000051509",0.718649223816894,2.20212617079802,4.4663692100461,0.034568374024188,0.869968102742599,109,147,115,115,244,294,"Olfr414","olfactory receptor 414"
"761","ENSMUSG00000063386",0.650403951657611,1.80816616300545,4.45812682035466,0.0347355685305575,0.869968102742599,86,109,106,153,136,191,"Olfr1387","olfactory receptor 1387"
"792","ENSMUSG00000068947",1.14889820172204,-0.560948483433255,4.35670091006212,0.0368636298885058,0.902749336380742,14,20,8,22,52,21,"Olfr366","olfactory receptor 366"
"885","ENSMUSG00000094449",-0.766128507996428,0.510892344113341,4.20024105325222,0.0404182335753295,0.923835889804567,61,74,58,28,39,49,"Olfr972","olfactory receptor 972"
"908","ENSMUSG00000047702",0.673758756496946,0.941129814389441,4.15369607026553,0.0415437486559138,0.923835889804567,40,67,55,67,86,107,"Olfr1388","olfactory receptor 1388"
"929","ENSMUSG00000073915",-0.747411640138189,0.922370472783181,4.12974061401892,0.0421358087976683,0.923835889804567,85,65,97,87,19,65,"Olfr676","olfactory receptor 676"
"983","ENSMUSG00000062128",0.743967652238366,0.912099332499906,4.02593358204019,0.0448058150685573,0.923835889804567,25,68,54,39,135,81,"Olfr20","olfactory receptor 20"
"991","ENSMUSG00000063881",0.656352256578038,2.22091097567838,4.01335311112032,0.0451412899023733,0.923835889804567,54,193,149,97,319,202,"Olfr376","olfactory receptor 376"
"997","ENSMUSG00000111567",0.774908484592486,0.836114985184342,4.00295433189776,0.0454205838609907,0.923835889804567,23,45,84,66,72,102,"Olfr1251","olfactory receptor 1251"
"1027","ENSMUSG00000093866",-1.98254266159315,-2.53598757556493,3.98473329232476,0.0459143690403619,0.923835889804567,4,7,10,0,2,4,"Olfr802","olfactory receptor 802"
"1028","ENSMUSG00000059251",-2.32723376638662,-2.86751098055489,3.98415703742456,0.0459300773516272,0.923835889804567,6,7,3,0,1,2,"Olfr345","olfactory receptor 345"
"1034","ENSMUSG00000050813",0.689913623356484,4.7954010315169,3.97327885027634,0.0462276741793898,0.923835889804567,1056,703,465,885,1965,869,"Olfr332","olfactory receptor 332"
"1040","ENSMUSG00000075144",-2.76095288008542,-3.17723561472026,3.96518328150098,0.0464504649364535,0.923835889804567,3,2,6,0,0,2,"Olfr1156","olfactory receptor 1156"
"1057","ENSMUSG00000051156",0.692557337939117,0.919049165208067,3.94425567666119,0.047031655682018,0.923835889804567,38,42,76,53,72,139,"Olfr1491","olfactory receptor 1491"
"1066","ENSMUSG00000046272",1.54096346121287,-0.517050629340531,3.91754492477516,0.0477846149898914,0.923835889804567,0,27,20,27,17,60,"Olfr1444","olfactory receptor 1444"
"1127","ENSMUSG00000093839",0.834303651575824,0.292512281856236,3.81173901654977,0.0508945838265416,0.926763605254425,28,48,21,58,39,75,"Olfr462","olfactory receptor 462"
"1145","ENSMUSG00000073963",-1.00113793316509,0.118131931498261,3.79900799546162,0.0512829573106442,0.926763605254425,21,64,58,4,51,32,"Olfr572","olfactory receptor 572"
"1147","ENSMUSG00000096229",3.054062874165,-3.23725732545721,3.79638053182473,0.0513635003480737,0.926763605254425,0,0,1,0,5,6,"Olfr774","olfactory receptor 774"
"1165","ENSMUSG00000092292",-1.66797218315452,-2.23352382570231,3.75938463004193,0.0525119010466606,0.926763605254425,7,8,12,1,3,5,"Olfr113","olfactory receptor 113"
"1167","ENSMUSG00000045708",1.08454456652994,-0.690323586966677,3.7571895431325,0.0525808877157487,0.926763605254425,5,28,12,19,33,31,"Olfr447","olfactory receptor 447"
"1203","ENSMUSG00000044040",0.960342599339599,-0.133062745509611,3.71746974045693,0.0538459098215284,0.926763605254425,10,38,22,44,37,44,"Olfr1497","olfactory receptor 1497"
"1231","ENSMUSG00000073920",0.688116889835554,0.661705782130064,3.69454109119707,0.0545907975888049,0.926763605254425,16,55,64,34,64,118,"Olfr661","olfactory receptor 661"
"1233","ENSMUSG00000056853",1.81996572757415,-2.15226843215345,3.69230832949771,0.0546639150104697,0.926763605254425,1,5,2,12,16,2,"Olfr765","olfactory receptor 765"
"1249","ENSMUSG00000057903",0.611808694735262,1.43899847307598,3.66452187621688,0.0555825887223585,0.928060799576349,65,110,65,110,99,158,"Olfr739","olfactory receptor 739"
"1356","ENSMUSG00000075092",0.64965190056433,0.906743210866052,3.55615426262426,0.0593250341308349,0.953521913788388,46,69,42,64,107,76,"Olfr1232","olfactory receptor 1232"
"1382","ENSMUSG00000111711",1.85342221635704,-2.65617750735227,3.54197677784743,0.0598341118616005,0.953521913788388,3,1,1,7,4,8,"Olfr1089","olfactory receptor 1089"
"1454","ENSMUSG00000075100",1.54424577423109,-1.24563187230876,3.49413518268128,0.0615865671474232,0.953521913788388,1,9,14,20,25,13,"Olfr1223","olfactory receptor 1223"
"1457","ENSMUSG00000059397",0.673011818056138,0.750263648714705,3.49321810480815,0.0616206890069408,0.953521913788388,21,76,47,44,104,70,"Olfr54","olfactory receptor 54"
"1463","ENSMUSG00000094745",-1.26924240576181,-1.29260482701525,3.48223130578649,0.0620310455325498,0.953521913788388,10,16,29,8,2,16,"Olfr954","olfactory receptor 954"
"1472","ENSMUSG00000110621",-2.46669784196703,-2.92013402284636,3.45659163772865,0.0630000524109091,0.953521913788388,4,5,5,0,0,4,"Olfr837","olfactory receptor 837"
"1475","ENSMUSG00000075148",3.23308103342815,-3.82856597943579,3.45228639075401,0.0631643373017716,0.953521913788388,0,0,0,1,0,3,"Olfr1141","olfactory receptor 1141"
"1572","ENSMUSG00000063188",0.670573020322289,1.16658220975671,3.35186151312718,0.0671290598606701,0.961741604380324,46,95,48,58,87,172,"Olfr107","olfactory receptor 107"
"1576","ENSMUSG00000059429",0.574324354784519,1.53783374135271,3.34554805419282,0.0673870346855051,0.961741604380324,72,94,88,106,95,200,"Olfr365","olfactory receptor 365"
"1582","ENSMUSG00000043267",-0.847926087731083,-0.115924241079556,3.33778322360851,0.067705768095809,0.961741604380324,26,48,51,19,14,41,"Olfr1031","olfactory receptor 1031"
"1583","ENSMUSG00000074945",1.90907594273851,-2.42282576668386,3.33721469619231,0.0677291684386749,0.961741604380324,3,0,3,15,5,4,"Olfr1314","olfactory receptor 1314"
"1606","ENSMUSG00000094197",3.17179409802044,-3.91256156928676,3.32174307713062,0.0683693049068357,0.961741604380324,0,0,0,2,1,0,"Olfr474","olfactory receptor 474"
"1680","ENSMUSG00000075193",1.3273811611065,-1.78257751130736,3.26376986546413,0.0708261245964034,0.961741604380324,2,9,5,8,13,17,"Olfr1051","olfactory receptor 1051"
"1696","ENSMUSG00000059874",-1.44893152601886,-2.06145712131672,3.23109869889105,0.0722521993914567,0.961741604380324,7,9,15,4,3,4,"Olfr603","olfactory receptor 603"
"1756","ENSMUSG00000045341",0.563908790721654,2.23968146374053,3.18502229538817,0.0743159835281212,0.961741604380324,100,158,167,231,140,274,"Olfr167","olfactory receptor 167"
"1758","ENSMUSG00000075155",-0.965620929348246,-0.647846229005797,3.18334571447466,0.0743922614334728,0.961741604380324,20,33,34,16,9,21,"Olfr1133","olfactory receptor 1133"
"1771","ENSMUSG00000043314",0.515992310777045,3.18542182351842,3.17139850383944,0.0749382533386936,0.961741604380324,166,463,235,248,367,600,"Olfr30","olfactory receptor 30"
"1814","ENSMUSG00000075199",-0.57231749477362,1.04291783202895,3.1354468809807,0.0766073894510847,0.961741604380324,54,117,101,40,61,82,"Olfr52","olfactory receptor 52"
"1815","ENSMUSG00000061489",0.641653793701708,1.43768080756069,3.13149359452016,0.0767933544811017,0.961741604380324,72,65,87,68,124,185,"Olfr525","olfactory receptor 525"
"1826","ENSMUSG00000096000",-3.80262882706463,-3.65258417706996,3.12256659902018,0.0772150743811122,0.961741604380324,0,3,3,0,0,0,"Olfr773","olfactory receptor 773"
"1827","ENSMUSG00000051051",0.478689701313052,3.34041726938553,3.12183978366706,0.0772495193480976,0.961741604380324,205,386,370,396,339,612,"Olfr523","olfactory receptor 523"
"1830","ENSMUSG00000043087",-0.79092789286449,0.0371475958104442,3.1134261670162,0.0776494599709905,0.961741604380324,45,44,46,22,16,49,"Olfr855","olfactory receptor 855"
"1872","ENSMUSG00000058856",-3.18356166822977,-3.91304014787191,3.11069689778917,0.0777796737212117,0.961741604380324,0,0,3,0,0,0,"Olfr952","olfactory receptor 952"
"1928","ENSMUSG00000058270",1.16578081257991,-1.17918560984047,3.09475157180659,0.0785451401036562,0.961741604380324,13,10,4,23,11,28,"Olfr25","olfactory receptor 25"
"1952","ENSMUSG00000070378",1.01199258083217,0.065005046998342,3.05418935306303,0.0805291712022809,0.96461480059171,22,8,48,28,50,67,"Olfr403","olfactory receptor 403"
"1979","ENSMUSG00000043383",0.562378005540407,1.24437407589204,3.03823929732008,0.0813240799668628,0.96461480059171,53,66,89,72,95,151,"Olfr1342","olfactory receptor 1342"
"1994","ENSMUSG00000061195",-1.07370561217839,-1.27796286239373,3.02363768041654,0.0820592104639277,0.96461480059171,20,13,21,10,5,12,"Olfr1289","olfactory receptor 1289"
"2041","ENSMUSG00000047286",0.552635131454378,2.79501219069909,2.96917101831679,0.0848653324289702,0.96461480059171,182,201,225,213,364,346,"Olfr370","olfactory receptor 370"
"2055","ENSMUSG00000049315",0.882585358250962,-0.49614579080818,2.94521106775111,0.086132446346142,0.96461480059171,7,25,22,21,28,47,"Olfr348","olfactory receptor 348"
"2062","ENSMUSG00000073973",0.550150511309728,1.91452211077927,2.93566238932433,0.0866431165602954,0.96461480059171,78,92,166,103,136,276,"Olfr552","olfactory receptor 552"
"2067","ENSMUSG00000047716",0.743715704525539,0.218771204660466,2.93346591667729,0.0867610485419316,0.96461480059171,14,50,35,47,45,62,"Olfr736","olfactory receptor 736"
"2213","ENSMUSG00000066241",-3.02406045052503,-3.91181652628353,2.87657482558471,0.0898770130844231,0.96461480059171,3,0,0,0,0,0,"Olfr514","olfactory receptor 514"
"2245","ENSMUSG00000110526",-3.02406045052503,-3.91181652628353,2.87657482558471,0.0898770130844231,0.96461480059171,3,0,0,0,0,0,"Olfr151","olfactory receptor 151"
"2256","ENSMUSG00000062987",0.721075524907884,0.666591047107091,2.87309647212042,0.0900714213611118,0.96461480059171,46,33,46,41,84,93,"Olfr715b","olfactory receptor 715B"
"2261","ENSMUSG00000058244",-0.609999635017138,0.706995239123816,2.86279332903017,0.0906499555958937,0.96461480059171,57,83,72,34,58,49,"Olfr506","olfactory receptor 506"
"2325","ENSMUSG00000047511",0.609114183988495,1.41665374646966,2.82676735296009,0.0927047928304004,0.96461480059171,56,70,108,110,124,115,"Olfr1396","olfactory receptor 1396"
"2326","ENSMUSG00000093980",-2.25892340265652,-2.78711267658033,2.826622348383,0.0927131651023236,0.96461480059171,4,6,5,0,0,6,"Olfr493","olfactory receptor 493"
"2345","ENSMUSG00000075064",-2.76391831726085,-2.92871397952403,2.80542464815619,0.093945966696157,0.96461480059171,0,16,1,0,0,1,"Olfr1506","olfactory receptor 1506"
"2346","ENSMUSG00000059043",0.408226979388414,4.35125350671923,2.803469585316,0.0940605626389487,0.96461480059171,663,594,686,831,841,935,"Olfr15","olfactory receptor 15"
"2385","ENSMUSG00000095525",-2.94606439251775,-3.82531398513465,2.77771969313341,0.0955841714706343,0.96461480059171,0,4,0,0,0,0,"Olfr834","olfactory receptor 834"
"2473","ENSMUSG00000075215",1.41063603483115,-2.18864269077705,2.72105151498995,0.0990327558136498,0.96461480059171,5,1,4,8,5,15,"Olfr1000","olfactory receptor 1000"
"2477","ENSMUSG00000067064",0.53051042313879,1.04846893401068,2.71883121053398,0.0991706084610212,0.96461480059171,43,73,70,71,78,124,"Olfr1416","olfactory receptor 1416"
"2531","ENSMUSG00000048173",0.587833569740968,1.4923126631584,2.67119497053922,0.102179278548931,0.96461480059171,33,111,115,97,77,209,"Olfr1324","olfactory receptor 1324"
"2569","ENSMUSG00000044213",-1.16660367940678,-0.615601731985585,2.6421849475363,0.104060340499698,0.96461480059171,14,28,47,7,29,7,"Olfr1094","olfactory receptor 1094"
"2576","ENSMUSG00000056995",0.610750512902683,0.464487767091246,2.63884851092765,0.104279100376274,0.96461480059171,27,47,44,56,41,90,"Olfr1178","olfactory receptor 1178"
"2585","ENSMUSG00000047048",0.764070123794533,0.0954954756236274,2.6318141991716,0.104741971002071,0.96461480059171,2,39,50,9,42,93,"Olfr432","olfactory receptor 432"
"2620","ENSMUSG00000050030",0.503291763955726,1.35763584930197,2.60601915284277,0.106458699563374,0.96461480059171,62,99,72,83,115,135,"Olfr728","olfactory receptor 728"
"2625","ENSMUSG00000095218",0.863286208532844,-0.311032674257835,2.60415093047928,0.106584227585331,0.96461480059171,6,29,29,29,23,58,"Olfr1338","olfactory receptor 1338"
"2629","ENSMUSG00000075084",0.681767604648211,0.164722603619646,2.60274045013783,0.10667910695995,0.96461480059171,32,29,30,41,50,58,"Olfr1243","olfactory receptor 1243"
"2637","ENSMUSG00000095377",0.670926925130155,0.249070134326331,2.59992820208038,0.106868556307026,0.96461480059171,28,35,33,73,31,59,"Olfr91","olfactory receptor 91"
"2690","ENSMUSG00000068950",0.899062182966628,-0.737833516598967,2.59809948533773,0.106991947328252,0.96461480059171,5,20,20,17,23,40,"Olfr338","olfactory receptor 338"
"2764","ENSMUSG00000046431",0.482455854583243,2.08485694135426,2.55211522386748,0.110146701174188,0.96461480059171,81,151,165,140,152,269,"Olfr518","olfactory receptor 518"
"2771","ENSMUSG00000043880",0.934154044373105,-0.962313803542475,2.54506349483907,0.110639463057468,0.96461480059171,13,10,12,25,23,20,"Olfr323","olfactory receptor 323"
"2779","ENSMUSG00000045581",0.876599738327066,0.546329735761415,2.53785253769072,0.111145860430482,0.96461480059171,41,18,45,33,98,74,"Olfr710","olfactory receptor 710"
"2784","ENSMUSG00000044801",2.5364644834659,-3.50227549600239,2.52928633945874,0.111750748356904,0.96461480059171,0,1,0,0,3,4,"Olfr159","olfactory receptor 159"
"2785","ENSMUSG00000046396",0.527290878489318,0.99873871281552,2.52906768755759,0.111766235449707,0.96461480059171,52,66,59,74,64,131,"Olfr609","olfactory receptor 609"
"2786","ENSMUSG00000059610",0.359153842552809,4.25174284121799,2.52865105930303,0.111795751729018,0.96461480059171,642,511,691,988,518,965,"Olfr222","olfactory receptor 222"
"2788","ENSMUSG00000111689",-1.00848010357031,-0.935986935868213,2.52664933023439,0.111937685143702,0.96461480059171,17,42,14,17,7,10,"Olfr1082","olfactory receptor 1082"
"2796","ENSMUSG00000059862",-0.900560623995627,-0.814252274051948,2.51959569695007,0.112439409507229,0.96461480059171,17,22,36,15,7,20,"Olfr826","olfactory receptor 826"
"2847","ENSMUSG00000095212",0.785936788207954,-0.254955406283162,2.49696426693591,0.114065981343112,0.96461480059171,20,26,17,28,26,64,"Olfr473","olfactory receptor 473"
"2908","ENSMUSG00000066269",-0.776178139948185,-0.0566263894794081,2.45259824252209,0.117330511705279,0.96461480059171,21,60,50,23,13,42,"Olfr575","olfactory receptor 575"
"2983","ENSMUSG00000094535",2.77348381373734,-4.00959354398963,2.43962113767428,0.11830479602221,0.96461480059171,0,0,0,0,2,0,"Olfr850","olfactory receptor 850"
"3054","ENSMUSG00000059910",0.701527384372733,-0.014350673327255,2.42940538004462,0.119078060101407,0.96461480059171,21,23,36,50,30,53,"Olfr1265","olfactory receptor 1265"
"3072","ENSMUSG00000062497",0.474078995629845,2.18269189457882,2.4164219116163,0.120068902524321,0.96461480059171,117,149,151,200,124,292,"Olfr1411","olfactory receptor 1411"
"3075","ENSMUSG00000093942",0.502404293498849,1.47349726923279,2.41566603553905,0.120126868209306,0.96461480059171,69,54,129,87,80,207,"Olfr46","olfactory receptor 46"
"3084","ENSMUSG00000090675",-0.545579188718503,0.807319937546344,2.41165323493522,0.120435116212909,0.96461480059171,61,91,72,34,61,62,"Olfr111","olfactory receptor 111"
"3138","ENSMUSG00000056883",0.396943009727829,3.62394585580214,2.40884080122706,0.12065167867345,0.96461480059171,667,235,192,1149,247,246,"Olfr533","olfactory receptor 533"
"3143","ENSMUSG00000062245",0.483892345796972,1.55108567303596,2.40523238961222,0.120930164806074,0.96461480059171,82,89,97,133,107,141,"Olfr170","olfactory receptor 170"
"3158","ENSMUSG00000073964",-0.517072609809631,1.68145896434849,2.38754295335012,0.122305725905991,0.96461480059171,72,91,265,75,51,166,"Olfr570","olfactory receptor 570"
"3177","ENSMUSG00000062042",2.71923740421218,-3.92173441715205,2.38239416173193,0.122709357352246,0.96461480059171,0,0,0,0,0,3,"Olfr294","olfactory receptor 294"
"3202","ENSMUSG00000094755",2.71923740421218,-3.92173441715205,2.38239416173193,0.122709357352246,0.96461480059171,0,0,0,0,0,3,"Olfr1453","olfactory receptor 1453"
"3273","ENSMUSG00000066240",-1.60789742234152,-2.68261278001638,2.35908981530669,0.124554842722592,0.96461480059171,6,6,5,3,3,0,"Olfr517","olfactory receptor 517"
"3326","ENSMUSG00000094461",-2.70182302293862,-4.01322159303797,2.35619134227247,0.12478652108519,0.96461480059171,0,0,2,0,0,0,"Olfr883","olfactory receptor 883"
"3432","ENSMUSG00000062757",0.716087238070622,-0.0588638640942043,2.33685693585244,0.126344247582634,0.96461480059171,17,35,26,52,32,44,"Olfr1206","olfactory receptor 1206"
"3506","ENSMUSG00000094347",0.704132213866265,-0.031281942672337,2.317572454078,0.127919519835415,0.96461480059171,25,20,34,43,39,47,"Olfr784","olfactory receptor 784"
"3510","ENSMUSG00000096705",1.5720021173475,-2.6652715180182,2.31531195382394,0.128105597785978,0.96461480059171,1,2,2,1,5,13,"Olfr1329","olfactory receptor 1329"
"3516","ENSMUSG00000073949",0.487183813262291,1.18812123713401,2.31116179113889,0.128448012420973,0.96461480059171,68,86,55,111,73,113,"Olfr606","olfactory receptor 606"
"3517","ENSMUSG00000073896",0.469851792063697,3.80833054906511,2.31100483900379,0.128460981947673,0.96461480059171,349,408,489,363,814,652,"Olfr716","olfactory receptor 716"
"3522","ENSMUSG00000078420",-0.682696871086441,-0.0940274180327081,2.30977851055033,0.128562368161281,0.96461480059171,28,49,45,16,26,36,"Olfr141","olfactory receptor 141"
"3533","ENSMUSG00000046790",0.421825579425933,3.09764970084029,2.30279728725482,0.129141238526574,0.96461480059171,277,240,294,353,314,439,"Olfr1341","olfactory receptor 1341"
"3547","ENSMUSG00000078118",0.853337127205149,-0.747257499613709,2.29688413099076,0.129633818628376,0.96461480059171,7,24,12,9,37,33,"Olfr483","olfactory receptor 483"
"3623","ENSMUSG00000042863",-0.660282775952402,-0.015250774505648,2.29025381597301,0.130188631639708,0.96461480059171,43,45,40,30,19,35,"Olfr1026","olfactory receptor 1026"
"3646","ENSMUSG00000051046",0.579976948361455,0.893467769053902,2.27655376990072,0.131343434849056,0.96461480059171,23,65,78,49,105,81,"Olfr214","olfactory receptor 214"
"3712","ENSMUSG00000049041",0.466894975793729,2.22392432495292,2.23787460294567,0.134665970959548,0.96461480059171,136,209,100,171,190,240,"Olfr398","olfactory receptor 398"
"3722","ENSMUSG00000037924",0.455747841346953,2.0589424647926,2.23340323742134,0.135056080715438,0.96461480059171,65,194,141,105,174,261,"Olfr16","olfactory receptor 16"
"3745","ENSMUSG00000096167",0.566520072291558,0.901485788628212,2.21721124709433,0.136479388922419,0.96461480059171,55,37,69,52,72,127,"Olfr887","olfactory receptor 887"
"3824","ENSMUSG00000094822",-0.948400401292837,-1.18988414647446,2.20160856977467,0.137866804458605,0.96461480059171,14,22,20,11,4,17,"Olfr243","olfactory receptor 243"
"3841","ENSMUSG00000070383",0.556400971830135,0.624636430131566,2.19352514082353,0.138591807472518,0.96461480059171,33,66,39,65,47,92,"Olfr389","olfactory receptor 389"
"3875","ENSMUSG00000066671",0.488714355118511,2.68987355310213,2.1792496404104,0.139882646846531,0.96461480059171,104,218,298,220,287,308,"Olfr220","olfactory receptor 220"
"3880","ENSMUSG00000108995",0.977711089617171,-1.32849170062854,2.17767577838535,0.140025784706244,0.96461480059171,9,5,12,13,16,23,"Olfr485","olfactory receptor 485"
"3886","ENSMUSG00000060556",0.595876029820561,0.210658547942008,2.17190413123243,0.140552107193817,0.96461480059171,20,46,35,40,46,64,"Olfr1418","olfactory receptor 1418"
"3890","ENSMUSG00000051392",-1.04834851042435,-0.696937514049623,2.1705945727427,0.140671836186576,0.96461480059171,16,27,33,14,1,40,"Olfr1402","olfactory receptor 1402"
